"","database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","support_type","pubmed_id","type"
"5382","tarbase","MIMAT0000099","hsa-miR-101-3p","VHL","7428","ENSG00000134086","Degradome sequencing","positive","","validated"
"5383","tarbase","MIMAT0000099","hsa-miR-101-3p","AKT3","10000","ENSG00000117020","Degradome sequencing//Degradome sequencing","positive","","validated"
"5384","tarbase","MIMAT0000099","hsa-miR-101-3p","AP3M2","10947","ENSG00000070718","Degradome sequencing","positive","","validated"
"5385","tarbase","MIMAT0000099","hsa-miR-101-3p","GALNT10","55568","ENSG00000164574","Degradome sequencing","negative","","validated"
"5386","tarbase","MIMAT0000099","hsa-miR-101-3p","ATP11A","23250","ENSG00000068650","Degradome sequencing","positive","","validated"
"5387","tarbase","MIMAT0000099","hsa-miR-101-3p","OSMR","9180","ENSG00000145623","Degradome sequencing","positive","","validated"
"5388","tarbase","MIMAT0000099","hsa-miR-101-3p","RABIF","5877","ENSG00000183155","Degradome sequencing","positive","","validated"
"5389","tarbase","MIMAT0000099","hsa-miR-101-3p","EGLN3","112399","ENSG00000129521","Degradome sequencing","negative","","validated"
"5390","tarbase","MIMAT0000099","hsa-miR-101-3p","RAB11FIP1","80223","ENSG00000156675","Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing","positive","","validated"
"5391","tarbase","MIMAT0000099","hsa-miR-101-3p","ENTPD4","9583","ENSG00000197217","Degradome sequencing","positive","","validated"
"5392","tarbase","MIMAT0000099","hsa-miR-101-3p","ATM","472","ENSG00000149311","Degradome sequencing","positive","","validated"
"5393","tarbase","MIMAT0000099","hsa-miR-101-3p","FBXW7","55294","ENSG00000109670","Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing","positive","","validated"
"5394","tarbase","MIMAT0000099","hsa-miR-101-3p","NOG","9241","ENSG00000183691","Degradome sequencing","positive","","validated"
"5395","tarbase","MIMAT0000099","hsa-miR-101-3p","STAT5A","6776","ENSG00000126561","Degradome sequencing","negative","","validated"
"5396","tarbase","MIMAT0000099","hsa-miR-101-3p","MARK1","4139","ENSG00000116141","Degradome sequencing","positive","","validated"
"5397","tarbase","MIMAT0000099","hsa-miR-101-3p","SULF1","23213","ENSG00000137573","Degradome sequencing","negative","","validated"
"5398","tarbase","MIMAT0000099","hsa-miR-101-3p","NAT1","9","ENSG00000171428","Degradome sequencing","negative","","validated"
"5399","tarbase","MIMAT0000099","hsa-miR-101-3p","ADH5","128","ENSG00000197894","Degradome sequencing","positive","","validated"
"5400","tarbase","MIMAT0000099","hsa-miR-101-3p","ADM","133","ENSG00000148926","Degradome sequencing","negative","","validated"
"5401","tarbase","MIMAT0000099","hsa-miR-101-3p","AP2A2","161","ENSG00000183020","Degradome sequencing","positive","","validated"
"5402","tarbase","MIMAT0000099","hsa-miR-101-3p","AP1G1","164","ENSG00000166747","Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing//Degrad","positive","","validated"
"5403","tarbase","MIMAT0000099","hsa-miR-101-3p","AGA","175","ENSG00000038002","Degradome sequencing","positive","","validated"
"5404","tarbase","MIMAT0000099","hsa-miR-101-3p","BIRC5","332","ENSG00000089685","Degradome sequencing","positive","","validated"
"5405","tarbase","MIMAT0000099","hsa-miR-101-3p","TRIM23","373","ENSG00000113595","Degradome sequencing","positive","","validated"
"5406","tarbase","MIMAT0000099","hsa-miR-101-3p","RND3","390","ENSG00000115963","Degradome sequencing","negative","","validated"
"5407","tarbase","MIMAT0000099","hsa-miR-101-3p","ASAH1","427","ENSG00000104763","Degradome sequencing","positive","","validated"
"5408","tarbase","MIMAT0000099","hsa-miR-101-3p","ATP1B2","482","ENSG00000129244","Degradome sequencing","positive","","validated"
"5409","tarbase","MIMAT0000099","hsa-miR-101-3p","ATP6V1A","523","ENSG00000114573","Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing","positive","","validated"
"5410","tarbase","MIMAT0000099","hsa-miR-101-3p","B2M","567","ENSG00000166710","Degradome sequencing","positive","","validated"
"5411","tarbase","MIMAT0000099","hsa-miR-101-3p","BCL3","602","ENSG00000069399","Degradome sequencing","negative","","validated"
"5412","tarbase","MIMAT0000099","hsa-miR-101-3p","BDKRB1","623","ENSG00000100739","Degradome sequencing","negative","","validated"
"5413","tarbase","MIMAT0000099","hsa-miR-101-3p","BMP2","650","ENSG00000125845","Degradome sequencing","negative","","validated"
"5414","tarbase","MIMAT0000099","hsa-miR-101-3p","C4BPB","725","ENSG00000123843","Degradome sequencing","negative","","validated"
"5415","tarbase","MIMAT0000099","hsa-miR-101-3p","LDLRAD4","753","ENSG00000168675","Degradome sequencing","positive","","validated"
"5416","tarbase","MIMAT0000099","hsa-miR-101-3p","TMEM50B","757","ENSG00000142188","Degradome sequencing","positive","","validated"
"5417","tarbase","MIMAT0000099","hsa-miR-101-3p","CA2","760","ENSG00000104267","Degradome sequencing","negative","","validated"
"5418","tarbase","MIMAT0000099","hsa-miR-101-3p","CA8","767","ENSG00000178538","Degradome sequencing","negative","","validated"
"5419","tarbase","MIMAT0000099","hsa-miR-101-3p","CA11","770","ENSG00000063180","Degradome sequencing","positive","","validated"
"5420","tarbase","MIMAT0000099","hsa-miR-101-3p","CACNB2","783","ENSG00000165995","Degradome sequencing","positive","","validated"
"5421","tarbase","MIMAT0000099","hsa-miR-101-3p","CAPN2","824","ENSG00000162909","Degradome sequencing//Degradome sequencing","positive","","validated"
"5422","tarbase","MIMAT0000099","hsa-miR-101-3p","CBR3","874","ENSG00000159231","Degradome sequencing","negative","","validated"
"5423","tarbase","MIMAT0000099","hsa-miR-101-3p","CCNC","892","ENSG00000112237","Degradome sequencing","positive","","validated"
"5424","tarbase","MIMAT0000099","hsa-miR-101-3p","CD86","942","ENSG00000114013","Degradome sequencing","positive","","validated"
"5425","tarbase","MIMAT0000099","hsa-miR-101-3p","SCARB2","950","ENSG00000138760","Degradome sequencing//Degradome sequencing//Degradome sequencing","positive","","validated"
"5426","tarbase","MIMAT0000099","hsa-miR-101-3p","CD38","952","ENSG00000004468","Degradome sequencing","positive","","validated"
"5427","tarbase","MIMAT0000099","hsa-miR-101-3p","CDK1","983","ENSG00000170312","Degradome sequencing","positive","","validated"
"5428","tarbase","MIMAT0000099","hsa-miR-101-3p","CDH2","1000","ENSG00000170558","Degradome sequencing//Degradome sequencing","positive","","validated"
"5429","tarbase","MIMAT0000099","hsa-miR-101-3p","CDKN2C","1031","ENSG00000123080","Degradome sequencing","negative","","validated"
"5430","tarbase","MIMAT0000099","hsa-miR-101-3p","CDKN2D","1032","ENSG00000129355","Degradome sequencing","negative","","validated"
"5431","tarbase","MIMAT0000099","hsa-miR-101-3p","CEBPD","1052","ENSG00000221869","Degradome sequencing//Degradome sequencing","positive","","validated"
"5432","tarbase","MIMAT0000099","hsa-miR-101-3p","CGA","1081","ENSG00000135346","Degradome sequencing","negative","","validated"
"5433","tarbase","MIMAT0000099","hsa-miR-101-3p","CHEK1","1111","ENSG00000149554","Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing","positive","","validated"
"5434","tarbase","MIMAT0000099","hsa-miR-101-3p","CHRM3","1131","ENSG00000133019","Degradome sequencing","negative","","validated"
"5435","tarbase","MIMAT0000099","hsa-miR-101-3p","CHRNA7","1139","ENSG00000175344","Degradome sequencing","negative","","validated"
"5436","tarbase","MIMAT0000099","hsa-miR-101-3p","CKS2","1164","ENSG00000123975","Degradome sequencing","positive","","validated"
"5437","tarbase","MIMAT0000099","hsa-miR-101-3p","AP3S1","1176","ENSG00000177879","Degradome sequencing//Degradome sequencing","positive","","validated"
"5438","tarbase","MIMAT0000099","hsa-miR-101-3p","COL5A2","1290","ENSG00000204262","Degradome sequencing","positive","","validated"
"5439","tarbase","MIMAT0000099","hsa-miR-101-3p","COMT","1312","ENSG00000093010","Degradome sequencing","positive","","validated"
"5440","tarbase","MIMAT0000099","hsa-miR-101-3p","SLC31A2","1318","ENSG00000136867","Degradome sequencing","negative","","validated"
"5441","tarbase","MIMAT0000099","hsa-miR-101-3p","CPT1B","1375","ENSG00000205560","Degradome sequencing","positive","","validated"
"5442","tarbase","MIMAT0000099","hsa-miR-101-3p","CR2","1380","ENSG00000117322","Degradome sequencing","negative","","validated"
"5443","tarbase","MIMAT0000099","hsa-miR-101-3p","CSNK1D","1453","ENSG00000141551","Degradome sequencing//Degradome sequencing","positive","","validated"
"5444","tarbase","MIMAT0000099","hsa-miR-101-3p","CSNK1G3","1456","ENSG00000151292","Degradome sequencing","positive","","validated"
"5445","tarbase","MIMAT0000099","hsa-miR-101-3p","CTH","1491","ENSG00000116761","Degradome sequencing","positive","","validated"
"5446","tarbase","MIMAT0000099","hsa-miR-101-3p","CTSV","1515","ENSG00000136943","Degradome sequencing","negative","","validated"
"5447","tarbase","MIMAT0000099","hsa-miR-101-3p","CYP51A1","1595","ENSG00000001630","Degradome sequencing//Degradome sequencing","positive","","validated"
"5448","tarbase","MIMAT0000099","hsa-miR-101-3p","DAG1","1605","ENSG00000173402","Degradome sequencing//Degradome sequencing//Degradome sequencing","positive","","validated"
"5449","tarbase","MIMAT0000099","hsa-miR-101-3p","DAP","1611","ENSG00000112977","Degradome sequencing","positive","","validated"
"5450","tarbase","MIMAT0000099","hsa-miR-101-3p","DBN1","1627","ENSG00000113758","Degradome sequencing","positive","","validated"
"5451","tarbase","MIMAT0000099","hsa-miR-101-3p","TIMM8A","1678","ENSG00000126953","Degradome sequencing","positive","","validated"
"5452","tarbase","MIMAT0000099","hsa-miR-101-3p","DHODH","1723","ENSG00000102967","Degradome sequencing","negative","","validated"
"5453","tarbase","MIMAT0000099","hsa-miR-101-3p","DIAPH1","1729","ENSG00000131504","Degradome sequencing//Degradome sequencing","positive","","validated"
"5454","tarbase","MIMAT0000099","hsa-miR-101-3p","DLG1","1739","ENSG00000075711","Degradome sequencing","positive","","validated"
"5455","tarbase","MIMAT0000099","hsa-miR-101-3p","DLG3","1741","ENSG00000082458","Degradome sequencing","negative","","validated"
"5456","tarbase","MIMAT0000099","hsa-miR-101-3p","DLX1","1745","ENSG00000144355","Degradome sequencing","positive","","validated"
"5457","tarbase","MIMAT0000099","hsa-miR-101-3p","DNAH5","1767","ENSG00000039139","Degradome sequencing","negative","","validated"
"5458","tarbase","MIMAT0000099","hsa-miR-101-3p","DPYSL2","1808","ENSG00000092964","Degradome sequencing","positive","","validated"
"5459","tarbase","MIMAT0000099","hsa-miR-101-3p","DRD5","1816","ENSG00000169676","Degradome sequencing","positive","","validated"
"5460","tarbase","MIMAT0000099","hsa-miR-101-3p","DSC2","1824","ENSG00000134755","Degradome sequencing","positive","","validated"
"5461","tarbase","MIMAT0000099","hsa-miR-101-3p","SLC26A2","1836","ENSG00000155850","Degradome sequencing","positive","","validated"
"5462","tarbase","MIMAT0000099","hsa-miR-101-3p","EDN2","1907","ENSG00000127129","Degradome sequencing","positive","","validated"
"5463","tarbase","MIMAT0000099","hsa-miR-101-3p","EPHA2","1969","ENSG00000142627","Degradome sequencing","negative","","validated"
"5464","tarbase","MIMAT0000099","hsa-miR-101-3p","EIF4A2","1974","ENSG00000156976","Degradome sequencing//Degradome sequencing","positive","","validated"
"5465","tarbase","MIMAT0000099","hsa-miR-101-3p","EIF4E","1977","ENSG00000151247","Degradome sequencing","positive","","validated"
"5466","tarbase","MIMAT0000099","hsa-miR-101-3p","ELAVL2","1993","ENSG00000107105","Degradome sequencing","negative","","validated"
"5467","tarbase","MIMAT0000099","hsa-miR-101-3p","EMX2","2018","ENSG00000170370","Degradome sequencing","negative","","validated"
"5468","tarbase","MIMAT0000099","hsa-miR-101-3p","EPHA5","2044","ENSG00000145242","Degradome sequencing","positive","","validated"
"5469","tarbase","MIMAT0000099","hsa-miR-101-3p","EPS8","2059","ENSG00000151491","Degradome sequencing","negative","","validated"
"5470","tarbase","MIMAT0000099","hsa-miR-101-3p","EREG","2069","ENSG00000124882","Degradome sequencing","negative","","validated"
"5471","tarbase","MIMAT0000099","hsa-miR-101-3p","ETV5","2119","ENSG00000244405","Degradome sequencing","negative","","validated"
"5472","tarbase","MIMAT0000099","hsa-miR-101-3p","EVI2B","2124","ENSG00000185862","Degradome sequencing","negative","","validated"
"5473","tarbase","MIMAT0000099","hsa-miR-101-3p","EXTL3","2137","ENSG00000012232","Degradome sequencing","positive","","validated"
"5474","tarbase","MIMAT0000099","hsa-miR-101-3p","ACSL1","2180","ENSG00000151726","Degradome sequencing","negative","","validated"
"5475","tarbase","MIMAT0000099","hsa-miR-101-3p","FGF1","2246","ENSG00000113578","Degradome sequencing","positive","","validated"
"5476","tarbase","MIMAT0000099","hsa-miR-101-3p","FHL1","2273","ENSG00000022267","Degradome sequencing//Degradome sequencing","positive","","validated"
"5477","tarbase","MIMAT0000099","hsa-miR-101-3p","FOXF2","2295","ENSG00000137273","Degradome sequencing","negative","","validated"
"5478","tarbase","MIMAT0000099","hsa-miR-101-3p","FLT1","2321","ENSG00000102755","Degradome sequencing","positive","","validated"
"5479","tarbase","MIMAT0000099","hsa-miR-101-3p","FPR1","2357","ENSG00000171051","Degradome sequencing","negative","","validated"
"5480","tarbase","MIMAT0000099","hsa-miR-101-3p","FUT1","2523","ENSG00000174951","Degradome sequencing","positive","","validated"
"5481","tarbase","MIMAT0000099","hsa-miR-101-3p","GABRA1","2554","ENSG00000022355","Degradome sequencing","positive","","validated"
"5482","tarbase","MIMAT0000099","hsa-miR-101-3p","LRRC32","2615","ENSG00000137507","Degradome sequencing","positive","","validated"
"5483","tarbase","MIMAT0000099","hsa-miR-101-3p","GAS1","2619","ENSG00000180447","Degradome sequencing","positive","","validated"
"5484","tarbase","MIMAT0000099","hsa-miR-101-3p","GATA3","2625","ENSG00000107485","Degradome sequencing//Degradome sequencing","positive","","validated"
"5485","tarbase","MIMAT0000099","hsa-miR-101-3p","GFRA1","2674","ENSG00000151892","Degradome sequencing","positive","","validated"
"5486","tarbase","MIMAT0000099","hsa-miR-101-3p","GNG10","2790","ENSG00000242616","Degradome sequencing","positive","","validated"
"5487","tarbase","MIMAT0000099","hsa-miR-101-3p","GNRH1","2796","ENSG00000147437","Degradome sequencing","negative","","validated"
"5488","tarbase","MIMAT0000099","hsa-miR-101-3p","SFN","2810","ENSG00000175793","Degradome sequencing","positive","","validated"
"5489","tarbase","MIMAT0000099","hsa-miR-101-3p","GPR27","2850","ENSG00000170837","Degradome sequencing","positive","","validated"
"5490","tarbase","MIMAT0000099","hsa-miR-101-3p","CXCL3","2921","ENSG00000163734","Degradome sequencing","negative","","validated"
"5491","tarbase","MIMAT0000099","hsa-miR-101-3p","GSK3B","2932","ENSG00000082701","Degradome sequencing//Degradome sequencing","positive","","validated"
"5492","tarbase","MIMAT0000099","hsa-miR-101-3p","GSTM3","2947","ENSG00000134202","Degradome sequencing","negative","","validated"
"5493","tarbase","MIMAT0000099","hsa-miR-101-3p","GTF2E1","2960","ENSG00000153767","Degradome sequencing","positive","","validated"
"5494","tarbase","MIMAT0000099","hsa-miR-101-3p","GUCY1A2","2977","ENSG00000152402","Degradome sequencing","positive","","validated"
"5495","tarbase","MIMAT0000099","hsa-miR-101-3p","HDGF","3068","ENSG00000143321","Degradome sequencing","positive","","validated"
"5496","tarbase","MIMAT0000099","hsa-miR-101-3p","NRG1","3084","ENSG00000157168","Degradome sequencing","negative","","validated"
"5497","tarbase","MIMAT0000099","hsa-miR-101-3p","HMGB2","3148","ENSG00000164104","Degradome sequencing","negative","","validated"
"5498","tarbase","MIMAT0000099","hsa-miR-101-3p","HMOX1","3162","ENSG00000100292","Degradome sequencing","negative","","validated"
"5499","tarbase","MIMAT0000099","hsa-miR-101-3p","HSD17B2","3294","ENSG00000086696","Degradome sequencing","negative","","validated"
"5500","tarbase","MIMAT0000099","hsa-miR-101-3p","HSPA1L","3305","ENSG00000204390","Degradome sequencing","negative","","validated"
"5501","tarbase","MIMAT0000099","hsa-miR-101-3p","ID4","3400","ENSG00000172201","Degradome sequencing","negative","","validated"
"5502","tarbase","MIMAT0000099","hsa-miR-101-3p","IDH3A","3419","ENSG00000166411","Degradome sequencing","positive","","validated"
"5503","tarbase","MIMAT0000099","hsa-miR-101-3p","IFNGR1","3459","ENSG00000027697","Degradome sequencing","negative","","validated"
"5504","tarbase","MIMAT0000099","hsa-miR-101-3p","IL11","3589","ENSG00000095752","Degradome sequencing","positive","","validated"
"5505","tarbase","MIMAT0000099","hsa-miR-101-3p","IL12A","3592","ENSG00000168811","Degradome sequencing","negative","","validated"
"5506","tarbase","MIMAT0000099","hsa-miR-101-3p","IL13RA2","3598","ENSG00000123496","Degradome sequencing","negative","","validated"
"5507","tarbase","MIMAT0000099","hsa-miR-101-3p","IMPA1","3612","ENSG00000133731","Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing//Degrad","positive","","validated"
"5508","tarbase","MIMAT0000099","hsa-miR-101-3p","INSL4","3641","ENSG00000120211","Degradome sequencing","positive","","validated"
"5509","tarbase","MIMAT0000099","hsa-miR-101-3p","IRAK2","3656","ENSG00000134070","Degradome sequencing","negative","","validated"
"5510","tarbase","MIMAT0000099","hsa-miR-101-3p","IRF1","3659","ENSG00000125347","Degradome sequencing","positive","","validated"
"5511","tarbase","MIMAT0000099","hsa-miR-101-3p","ITGA1","3672","ENSG00000213949","Degradome sequencing","negative","","validated"
"5512","tarbase","MIMAT0000099","hsa-miR-101-3p","ITGA3","3675","ENSG00000005884","Degradome sequencing","positive","","validated"
"5513","tarbase","MIMAT0000099","hsa-miR-101-3p","ITGA4","3676","ENSG00000115232","Degradome sequencing","negative","","validated"
"5514","tarbase","MIMAT0000099","hsa-miR-101-3p","KCNK2","3776","ENSG00000082482","Degradome sequencing","negative","","validated"
"5515","tarbase","MIMAT0000099","hsa-miR-101-3p","KCNN2","3781","ENSG00000080709","Degradome sequencing","negative","","validated"
"5516","tarbase","MIMAT0000099","hsa-miR-101-3p","KRT10","3858","ENSG00000186395","Degradome sequencing","positive","","validated"
"5517","tarbase","MIMAT0000099","hsa-miR-101-3p","KRT19","3880","ENSG00000171345","Degradome sequencing","negative","","validated"
"5518","tarbase","MIMAT0000099","hsa-miR-101-3p","LAIR2","3904","ENSG00000167618","Degradome sequencing","negative","","validated"
"5519","tarbase","MIMAT0000099","hsa-miR-101-3p","LCK","3932","ENSG00000182866","Degradome sequencing","negative","","validated"
"5520","tarbase","MIMAT0000099","hsa-miR-101-3p","LOXL1","4016","ENSG00000129038","Degradome sequencing","positive","","validated"
"5521","tarbase","MIMAT0000099","hsa-miR-101-3p","LSAMP","4045","ENSG00000185565","Degradome sequencing","positive","","validated"
"5522","tarbase","MIMAT0000099","hsa-miR-101-3p","SMAD9","4093","ENSG00000120693","Degradome sequencing","negative","","validated"
"5523","tarbase","MIMAT0000099","hsa-miR-101-3p","MAOA","4128","ENSG00000189221","Degradome sequencing","positive","","validated"
"5524","tarbase","MIMAT0000099","hsa-miR-101-3p","MCAM","4162","ENSG00000076706","Degradome sequencing","positive","","validated"
"5525","tarbase","MIMAT0000099","hsa-miR-101-3p","MCC","4163","ENSG00000171444","Degradome sequencing","positive","","validated"
"5526","tarbase","MIMAT0000099","hsa-miR-101-3p","MDFI","4188","ENSG00000112559","Degradome sequencing","negative","","validated"
"5527","tarbase","MIMAT0000099","hsa-miR-101-3p","MFNG","4242","ENSG00000100060","Degradome sequencing","positive","","validated"
"5528","tarbase","MIMAT0000099","hsa-miR-101-3p","MGAT3","4248","ENSG00000128268","Degradome sequencing","negative","","validated"
"5529","tarbase","MIMAT0000099","hsa-miR-101-3p","MMP7","4316","ENSG00000137673","Degradome sequencing","negative","","validated"
"5530","tarbase","MIMAT0000099","hsa-miR-101-3p","MYO5A","4644","ENSG00000197535","Degradome sequencing//Degradome sequencing//Degradome sequencing","positive","","validated"
"5531","tarbase","MIMAT0000099","hsa-miR-101-3p","MYOD1","4654","ENSG00000129152","Degradome sequencing","negative","","validated"
"5532","tarbase","MIMAT0000099","hsa-miR-101-3p","NCF2","4688","ENSG00000116701","Degradome sequencing","positive","","validated"
"5533","tarbase","MIMAT0000099","hsa-miR-101-3p","DRG1","4733","ENSG00000185721","Degradome sequencing","negative","","validated"
"5534","tarbase","MIMAT0000099","hsa-miR-101-3p","NEFM","4741","ENSG00000104722","Degradome sequencing","negative","","validated"
"5535","tarbase","MIMAT0000099","hsa-miR-101-3p","NF1","4763","ENSG00000196712","Degradome sequencing","positive","","validated"
"5536","tarbase","MIMAT0000099","hsa-miR-101-3p","NOS2","4843","ENSG00000007171","Degradome sequencing","negative","","validated"
"5537","tarbase","MIMAT0000099","hsa-miR-101-3p","NOVA1","4857","ENSG00000139910","Degradome sequencing","positive","","validated"
"5538","tarbase","MIMAT0000099","hsa-miR-101-3p","PNP","4860","ENSG00000198805","Degradome sequencing","negative","","validated"
"5539","tarbase","MIMAT0000099","hsa-miR-101-3p","NPAS2","4862","ENSG00000170485","Degradome sequencing","negative","","validated"
"5540","tarbase","MIMAT0000099","hsa-miR-101-3p","NPTX1","4884","ENSG00000171246","Degradome sequencing","positive","","validated"
"5541","tarbase","MIMAT0000099","hsa-miR-101-3p","NPY1R","4886","ENSG00000164128","Degradome sequencing","negative","","validated"
"5542","tarbase","MIMAT0000099","hsa-miR-101-3p","NTF3","4908","ENSG00000185652","Degradome sequencing","negative","","validated"
"5543","tarbase","MIMAT0000099","hsa-miR-101-3p","NVL","4931","ENSG00000143748","Degradome sequencing","negative","","validated"
"5544","tarbase","MIMAT0000099","hsa-miR-101-3p","OAS1","4938","ENSG00000089127","Degradome sequencing","negative","","validated"
"5545","tarbase","MIMAT0000099","hsa-miR-101-3p","OVGP1","5016","ENSG00000085465","Degradome sequencing","negative","","validated"
"5546","tarbase","MIMAT0000099","hsa-miR-101-3p","OXCT1","5019","ENSG00000083720","Degradome sequencing","positive","","validated"
"5547","tarbase","MIMAT0000099","hsa-miR-101-3p","P2RY2","5029","ENSG00000175591","Degradome sequencing","negative","","validated"
"5548","tarbase","MIMAT0000099","hsa-miR-101-3p","PAK3","5063","ENSG00000077264","Degradome sequencing","positive","","validated"
"5549","tarbase","MIMAT0000099","hsa-miR-101-3p","PCCA","5095","ENSG00000175198","Degradome sequencing","negative","","validated"
"5550","tarbase","MIMAT0000099","hsa-miR-101-3p","PCCB","5096","ENSG00000114054","Degradome sequencing","positive","","validated"
"5551","tarbase","MIMAT0000099","hsa-miR-101-3p","PCDH7","5099","ENSG00000169851","Degradome sequencing","negative","","validated"
"5552","tarbase","MIMAT0000099","hsa-miR-101-3p","PCDH8","5100","ENSG00000136099","Degradome sequencing","negative","","validated"
"5553","tarbase","MIMAT0000099","hsa-miR-101-3p","CDK17","5128","ENSG00000059758","Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing","positive","","validated"
"5554","tarbase","MIMAT0000099","hsa-miR-101-3p","PDE2A","5138","ENSG00000186642","Degradome sequencing","positive","","validated"
"5555","tarbase","MIMAT0000099","hsa-miR-101-3p","PDGFA","5154","ENSG00000197461","Degradome sequencing","positive","","validated"
"5556","tarbase","MIMAT0000099","hsa-miR-101-3p","PDGFRL","5157","ENSG00000104213","Degradome sequencing","negative","","validated"
"5557","tarbase","MIMAT0000099","hsa-miR-101-3p","PDGFRB","5159","ENSG00000113721","Degradome sequencing","positive","","validated"
"5558","tarbase","MIMAT0000099","hsa-miR-101-3p","PDK4","5166","ENSG00000004799","Degradome sequencing","negative","","validated"
"5559","tarbase","MIMAT0000099","hsa-miR-101-3p","SERPINF1","5176","ENSG00000132386","Degradome sequencing","positive","","validated"
"5560","tarbase","MIMAT0000099","hsa-miR-101-3p","PEG3","5178","ENSG00000198300","Degradome sequencing","positive","","validated"
"5561","tarbase","MIMAT0000099","hsa-miR-101-3p","PFN2","5217","ENSG00000070087","Degradome sequencing//Degradome sequencing//Degradome sequencing","positive","","validated"
"5562","tarbase","MIMAT0000099","hsa-miR-101-3p","SERPINI1","5274","ENSG00000163536","Degradome sequencing","negative","","validated"
"5563","tarbase","MIMAT0000099","hsa-miR-101-3p","PIK3CA","5290","ENSG00000121879","Degradome sequencing","negative","","validated"
"5564","tarbase","MIMAT0000099","hsa-miR-101-3p","PKP2","5318","ENSG00000057294","Degradome sequencing","positive","","validated"
"5565","tarbase","MIMAT0000099","hsa-miR-101-3p","PLAT","5327","ENSG00000104368","Degradome sequencing","negative","","validated"
"5566","tarbase","MIMAT0000099","hsa-miR-101-3p","PLXNB1","5364","ENSG00000164050","Degradome sequencing","positive","","validated"
"5567","tarbase","MIMAT0000099","hsa-miR-101-3p","PMP22","5376","ENSG00000109099","Degradome sequencing//Degradome sequencing","positive","","validated"
"5568","tarbase","MIMAT0000099","hsa-miR-101-3p","POLG","5428","ENSG00000140521","Degradome sequencing","negative","","validated"
"5569","tarbase","MIMAT0000099","hsa-miR-101-3p","PPOX","5498","ENSG00000143224","Degradome sequencing","positive","","validated"
"5570","tarbase","MIMAT0000099","hsa-miR-101-3p","PPP6C","5537","ENSG00000119414","Degradome sequencing","positive","","validated"
"5571","tarbase","MIMAT0000099","hsa-miR-101-3p","PRKACB","5567","ENSG00000142875","Degradome sequencing","positive","","validated"
"5572","tarbase","MIMAT0000099","hsa-miR-101-3p","DNAJC3","5611","ENSG00000102580","Degradome sequencing","positive","","validated"
"5573","tarbase","MIMAT0000099","hsa-miR-101-3p","PSEN1","5663","ENSG00000080815","Degradome sequencing//Degradome sequencing","positive","","validated"
"5574","tarbase","MIMAT0000099","hsa-miR-101-3p","PSMC6","5706","ENSG00000100519","Degradome sequencing","positive","","validated"
"5575","tarbase","MIMAT0000099","hsa-miR-101-3p","PSPH","5723","ENSG00000146733","Degradome sequencing","positive","","validated"
"5576","tarbase","MIMAT0000099","hsa-miR-101-3p","PTGS1","5742","ENSG00000095303","Degradome sequencing","negative","","validated"
"5577","tarbase","MIMAT0000099","hsa-miR-101-3p","PTHLH","5744","ENSG00000087494","Degradome sequencing","negative","","validated"
"5578","tarbase","MIMAT0000099","hsa-miR-101-3p","QSOX1","5768","ENSG00000116260","Degradome sequencing","positive","","validated"
"5579","tarbase","MIMAT0000099","hsa-miR-101-3p","PTPN7","5778","ENSG00000143851","Degradome sequencing","positive","","validated"
"5580","tarbase","MIMAT0000099","hsa-miR-101-3p","PTPRB","5787","ENSG00000127329","Degradome sequencing","negative","","validated"
"5581","tarbase","MIMAT0000099","hsa-miR-101-3p","PTPRE","5791","ENSG00000132334","Degradome sequencing","negative","","validated"
"5582","tarbase","MIMAT0000099","hsa-miR-101-3p","PYCR1","5831","ENSG00000183010","Degradome sequencing","positive","","validated"
"5583","tarbase","MIMAT0000099","hsa-miR-101-3p","RASGRF1","5923","ENSG00000058335","Degradome sequencing","positive","","validated"
"5584","tarbase","MIMAT0000099","hsa-miR-101-3p","ARID4A","5926","ENSG00000032219","Degradome sequencing","positive","","validated"
"5585","tarbase","MIMAT0000099","hsa-miR-101-3p","RBBP7","5931","ENSG00000102054","Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing//Degradome sequencing","positive","","validated"
"5586","tarbase","MIMAT0000099","hsa-miR-101-3p","RBP1","5947","ENSG00000114115","Degradome sequencing","positive","","validated"
"5587","tarbase","MIMAT0000099","hsa-miR-101-3p","RDH5","5959","ENSG00000135437","Degradome sequencing","positive","","validated"
"5588","tarbase","MIMAT0000099","hsa-miR-101-3p","RFX2","5990","ENSG00000087903","Degradome sequencing","positive","","validated"
"5589","tarbase","MIMAT0000099","hsa-miR-101-3p","RNASE1","6035","ENSG00000129538","Degradome sequencing","positive","","validated"
