"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000096","GO:0000096","sulfur amino acid metabolic process","31/14183","34/18870",0.0175233792318921,0.0474815033353946,0.0256215896663943,"1373/4548/84245/2729/441024/642/4552/23657/1036/1491/7263/50507/875/2730/4524/51380/4594/635/51074/1800/4522/4507/4357/4482/6611/55256/58478/4143/2678/189/23743",31
"GO:0002828","GO:0002828","regulation of type 2 immune response","31/14183","34/18870",0.0175233792318921,0.0474815033353946,0.0256215896663943,"9655/384/80762/975/3569/942/2625/7292/383/3440/972/1893/3456/604/301/430/6778/9466/64127/3142/5914/30009/163486/91543/5590/3566/3606/282618/3620/90865/114548",31
"GO:0006891","GO:0006891","intra-Golgi vesicle-mediated transport","31/14183","34/18870",0.0175233792318921,0.0474815033353946,0.0256215896663943,"1314/1315/8774/22820/9527/9276/7109/83548/10490/4905/83452/143187/9950/51560/5870/22818/84342/8775/9570/26958/10466/27095/11345/22796/51226/57511/91949/9382/100128327/25839/11316",31
"GO:0009954","GO:0009954","proximal/distal pattern formation","31/14183","34/18870",0.0175233792318921,0.0474815033353946,0.0256215896663943,"3205/3236/2736/3206/5087/388585/5089/1499/3219/3226/2735/28514/22856/1745/8626/26585/2737/79191/3227/79192/3225/8854/4838/56603/3207/2255/130497/3235/1746/2019/153572",31
"GO:0048199","GO:0048199","vesicle targeting, to, from or within Golgi","31/14183","34/18870",0.0175233792318921,0.0474815033353946,0.0256215896663943,"8729/10113/58485/51112/55062/10959/56681/10972/553115/55435/1453/5537/9919/51399/10597/51128/54732/84364/84984/60684/126003/79090/59349/8452/10016/22878/26286/10342/51693/27095/6399",31
"GO:0048841","GO:0048841","regulation of axon extension involved in axon guidance","31/14183","34/18870",0.0175233792318921,0.0474815033353946,0.0256215896663943,"7474/8829/54910/8482/659/10512/7422/9037/10371/223117/10507/10509/6259/6387/1826/9723/1954/54437/64218/55558/57556/57715/10501/91584/6405/80031/7869/89780/10500/10505/10013",31
"GO:0050775","GO:0050775","positive regulation of dendrite morphogenesis","31/14183","34/18870",0.0175233792318921,0.0474815033353946,0.0256215896663943,"23011/4076/5789/1523/2043/5048/7074/29904/80823/84079/170506/5649/1627/27067/57465/2048/26259/7804/26039/11141/29882/65981/56965/10458/8322/816/23363/9820/6792/10013/3706",31
"GO:0060317","GO:0060317","cardiac epithelial to mesenchymal transition","31/14183","34/18870",0.0175233792318921,0.0474815033353946,0.0256215896663943,"6591/7048/27250/7049/7046/3516/4089/2013/1942/6926/182/9241/650/3037/6615/23462/55273/4487/4851/57142/7042/7291/10252/4488/10439/8751/90/2022/2253/23493/26508",31
"GO:0060351","GO:0060351","cartilage development involved in endochondral bone morphogenesis","31/14183","34/18870",0.0175233792318921,0.0474815033353946,0.0256215896663943,"7048/1277/871/1386/5915/8313/25987/4322/9321/6662/57560/875/1311/2690/6781/2355/10269/5916/5914/2131/4882/9350/85301/3207/309/4880/7059/55512/59341/3549/6474",31
"GO:0070528","GO:0070528","protein kinase C signaling","31/14183","34/18870",0.0175233792318921,0.0474815033353946,0.0256215896663943,"9590/7474/91663/7422/23171/1608/4157/8048/5583/9289/2324/84059/5155/10211/4142/387758/8527/27063/5590/7481/260429/56848/23544/551/958/1609/566/5341/124925/65266/26470",31
"GO:0071398","GO:0071398","cellular response to fatty acid","31/14183","34/18870",0.0175233792318921,0.0474815033353946,0.0256215896663943,"1373/1019/3949/1906/6602/6720/23236/3280/3399/445/5166/7520/3667/4023/9076/8644/1374/1646/80149/55022/6714/5165/3158/9971/1645/5724/2867/81285/7350/1109/84649",31
"GO:1904385","GO:1904385","cellular response to angiotensin","31/14183","34/18870",0.0175233792318921,0.0474815033353946,0.0256215896663943,"3297/3480/6885/5910/815/57492/4780/4921/83990/5580/4790/5530/6093/760/3624/5587/857/9475/185/5970/88/5578/10768/116511/990/57085/4142/6714/4841/55532/183",31
"GO:0032091","GO:0032091","negative regulation of protein binding","66/14183","77/18870",0.0177488550911312,0.048051594518173,0.0259292177179831,"9532/23032/1026/9212/60/488/4043/5499/5599/6790/7009/154/24144/1454/23028/489/5580/80011/6815/11315/4133/6093/6653/255738/9241/567/2932/3676/6590/22943/1855/207/857/581/3433/51339/10399/56998/120892/5155/5195/54552/165904/1400/3434/5792/409/3586/5899/8751/166/161882/8189/10763/3300/8536/2801/9270/5300/129531/3080/146057/114769/3077/2962/147138",66
"GO:0035304","GO:0035304","regulation of protein dephosphorylation","66/14183","77/18870",0.0177488550911312,0.048051594518173,0.0259292177179831,"5725/7184/801/808/1408/2280/2768/3064/4659/5525/7248/7531/9258/10395/10776/23141/55291/84919/84930/4249/9863/23261/805/157313/5580/9891/5478/255919/6609/2475/6093/2281/2932/3326/3672/5159/5504/5528/9475/7529/22870/23075/7124/9701/261726/65018/5524/57718/23645/945/26012/5511/2029/91272/3551/121665/3958/7040/2629/5300/134/5788/55626/11314/84152/51657",66
"GO:0050688","GO:0050688","regulation of defense response to virus","82/14183","97/18870",0.0178321263335231,0.0482565355089353,0.0260398063388624,"115004/708/3320/22978/25942/29979/55666/57506/79102/255520/6397/8780/4277/3312/340061/1452/7128/10346/29800/9868/5094/80212/3553/26191/54765/117854/60489/51561/54476/345611/55914/338382/58515/10269/10875/5802/64771/2150/7105/10084/54941/151636/440275/5495/80772/6772/9447/10758/51191/81559/7353/22900/25827/1660/9474/54209/3600/7187/9140/10475/79671/80149/6693/3593/23586/79132/6895/83737/29108/83666/26146/22933/63906/84885/79844/163702/10859/23547/11074/200316/3594/23151",82
"GO:0046928","GO:0046928","regulation of neurotransmitter secretion","70/14183","82/18870",0.0179119567706513,0.0484519951185741,0.0261452786925734,"488/4208/5579/26509/54407/200933/25953/815/6622/785/5868/7779/673/2332/9581/5908/22999/8291/4763/5217/27345/23208/1855/2852/9699/5906/6857/9498/9899/10675/23557/28964/6812/55784/120892/134957/10815/3351/6855/6865/22930/140730/7476/22871/57512/84062/112755/8573/79772/41/8564/6804/5864/6623/8499/9783/9381/5413/84961/6860/10814/632/1136/6572/57617/9627/8938/5023/594855/5028",70
"GO:0000054","GO:0000054","ribosomal subunit export from nucleus","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"7514/6209/3692/55781/5901/4927/6059/51068/55153/23195/55341/4869/84946/161424",14
"GO:0000394","GO:0000394","RNA splicing, via endonucleolytic cleavage and ligation","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"79042/51637/25940/79074/1653/2081/339487/283742/116461/10978/80746/83707/51493/283989",14
"GO:0000722","GO:0000722","telomere maintenance via recombination","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"7014/7515/5889/79677/7011/286053/2067/10111/23137/5888/675/2072/5892/7517",14
"GO:0001833","GO:0001833","inner cell mass cell proliferation","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"57167/79728/9837/81565/54892/51119/1111/9318/53918/84296/675/129685/26173/8882",14
"GO:0006287","GO:0006287","base-excision repair, gap-filling","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"5111/27343/8505/328/5428/5423/3980/54936/3978/5424/2237/11284/5426/79661",14
"GO:0007100","GO:0007100","mitotic centrosome separation","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"6790/23636/79884/81565/9371/5902/1111/3834/4751/54820/64793/137886/3832/55968",14
"GO:0009214","GO:0009214","cyclic nucleotide catabolic process","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"5150/5144/5138/8622/27115/5141/10846/8654/5152/1267/5143/5142/5136/5151",14
"GO:0021819","GO:0021819","layer formation in cerebral cortex","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"1281/5048/1499/8851/5649/9289/7101/2737/89927/7804/1020/79143/8941/153090",14
"GO:0030213","GO:0030213","hyaluronan biosynthetic process","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"1213/10057/57214/4790/3037/3553/5155/3036/3373/3038/7040/160/55512/1950",14
"GO:0031958","GO:0031958","corticosteroid receptor signaling pathway","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"1408/8289/2908/4734/9575/55885/5245/7533/3717/406/811/1407/10728/5187",14
"GO:0032252","GO:0032252","secretory granule localization","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"8615/3798/3799/10749/4204/55638/4133/26115/547/5294/10125/8499/6860/80128",14
"GO:0033750","GO:0033750","ribosome localization","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"7514/6209/3692/55781/5901/4927/6059/51068/55153/23195/55341/4869/84946/161424",14
"GO:0035542","GO:0035542","regulation of SNARE complex assembly","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"65082/23176/6622/84079/112476/6812/9392/27072/55823/29091/64601/23355/57617/23339",14
"GO:0035791","GO:0035791","platelet-derived growth factor receptor-beta signaling pathway","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"4035/5782/5154/5157/5159/5770/93649/25/3092/4015/5155/6714/5771/9026",14
"GO:0042182","GO:0042182","ketone catabolic process","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"25953/11315/8529/5019/8630/883/8942/56267/347862/64577/66002/57834/3029/4835",14
"GO:0042994","GO:0042994","cytoplasmic sequestering of transcription factor","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"5310/4792/5311/4188/9908/5716/4793/7114/9817/3586/4794/11124/51684/28952",14
"GO:0043558","GO:0043558","regulation of translational initiation in response to stress","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"5499/27102/84919/10959/1965/5611/9451/2235/440275/23645/55364/4690/8440/4869",14
"GO:0045605","GO:0045605","negative regulation of epidermal cell differentiation","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"2146/388585/3280/28514/3204/2137/6431/4851/8626/4488/9573/79977/5068/130120",14
"GO:0045683","GO:0045683","negative regulation of epidermis development","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"2146/388585/3280/28514/3204/2137/6431/4851/8626/4488/9573/79977/5068/130120",14
"GO:0045842","GO:0045842","positive regulation of mitotic metaphase/anaphase transition","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"5925/9700/9787/286053/9587/11065/51434/8452/51433/991/8697/51529/8881/118471",14
"GO:0051127","GO:0051127","positive regulation of actin nucleation","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"10163/10152/10787/5987/10810/85477/342184/9873/8936/54551/123720/2934/55845/23191",14
"GO:0051645","GO:0051645","Golgi localization","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"372/9368/22820/84376/10494/7534/11235/6794/998/7405/55171/79567/57584/1600",14
"GO:0051775","GO:0051775","response to redox state","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"9616/9575/23657/128/2281/4862/55829/397/114990/406/22933/51022/6262/55512",14
"GO:0060019","GO:0060019","radial glial cell differentiation","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"387/51176/80045/388585/6774/3280/1000/57721/56339/2737/2596/79006/2255/2016",14
"GO:0061635","GO:0061635","regulation of protein complex stability","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"3312/6892/6926/5108/8878/60592/345611/60684/22863/51295/79096/11267/11277/56926",14
"GO:0070243","GO:0070243","regulation of thymocyte apoptotic process","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"7157/7474/22920/3091/652/1942/7428/64919/84524/100/101/3718/5896/171558",14
"GO:0070307","GO:0070307","lens fiber cell development","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"468/10152/128637/7431/10818/1969/7477/7476/5629/631/8419/81029/1419/7111",14
"GO:0070341","GO:0070341","fat cell proliferation","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"1871/1869/7027/8878/3988/8864/5467/54209/1735/55022/79068/222008/2255/6517",14
"GO:0070986","GO:0070986","left/right axis specification","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"4853/6608/28514/7547/57669/200894/5308/4851/51668/55329/10370/168507/26160/83852",14
"GO:0071027","GO:0071027","nuclear RNA surveillance","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"5394/54464/118460/23211/80335/23404/1797/54512/56915/5393/84186/11340/51010/23016",14
"GO:0071472","GO:0071472","cellular response to salt stress","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"677/10367/2547/80303/7520/79085/3954/5105/9990/2203/358/231/59341/825",14
"GO:0071696","GO:0071696","ectodermal placode development","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"3066/8829/1499/6926/10818/6495/6909/51804/5629/344167/27121/10718/1896/3065",14
"GO:0072160","GO:0072160","nephron tubule epithelial cell differentiation","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"10413/4208/3975/3976/1499/25937/2625/8842/9788/6772/100133941/130497/7849/5076",14
"GO:0072283","GO:0072283","metanephric renal vesicle morphogenesis","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"6299/3975/3976/1499/6608/342184/2668/26585/6772/55083/10736/7484/7849/5076",14
"GO:0072393","GO:0072393","microtubule anchoring at microtubule organizing center","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"23299/11127/84376/5108/2932/51199/84984/55201/636/585/90060/80323/1639/22981",14
"GO:0090385","GO:0090385","phagosome-lysosome fusion","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"55207/9066/7879/80208/200576/338382/1201/54734/83871/26276/5322/55647/84286/63894",14
"GO:0090646","GO:0090646","mitochondrial tRNA processing","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"80324/79828/87178/54931/55006/51095/54802/57570/84881/9692/3028/51654/60528/25821",14
"GO:0090649","GO:0090649","response to oxygen-glucose deprivation","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"468/6885/7248/867/663/9839/664/10800/6657/360/10038/4841/9131/4880",14
"GO:0097212","GO:0097212","lysosomal membrane organization","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"55353/57132/25978/51652/51510/27243/5119/7805/23120/29082/79643/91782/128866/92421",14
"GO:0098792","GO:0098792","xenophagy","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"55054/29110/8767/57674/345611/3964/64127/26100/10241/10133/5595/90678/55072/10392",14
"GO:1900025","GO:1900025","negative regulation of substrate adhesion-dependent cell spreading","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"81/10631/4241/23603/55435/2039/2633/55920/81848/1946/23189/4070/9270/2192",14
"GO:1901533","GO:1901533","negative regulation of hematopoietic progenitor cell differentiation","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"7538/5977/388585/3313/4780/3280/10443/57721/4851/6939/4602/55795/83881/2624",14
"GO:1902287","GO:1902287","semaphorin-plexin signaling pathway involved in axon guidance","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"1906/5361/8829/5364/5362/55558/23129/23654/91584/6405/5365/10154/1889/1909",14
"GO:1903894","GO:1903894","regulation of IRE1-mediated unfolded protein response","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"10018/55161/5770/4189/3309/581/11153/578/10987/23376/51283/65992/153090/10551",14
"GO:1904814","GO:1904814","regulation of protein localization to chromosome, telomeric region","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"26354/10694/10574/6950/9555/22948/10576/908/1736/55135/10575/54552/7013/7203",14
"GO:1905269","GO:1905269","positive regulation of chromatin organization","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"51535/1017/7175/9869/10155/55729/23272/54737/55196/6886/80063/57343/83852/22880",14
"GO:1990173","GO:1990173","protein localization to nucleoplasm","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"84897/10694/10574/6950/22948/10576/51574/908/1736/55135/56257/10575/29997/7203",14
"GO:2001053","GO:2001053","regulation of mesenchymal cell apoptotic process","14/14183","14/18870",0.018333877892063,0.0486030797862384,0.0262268057944521,"23345/3091/3209/6662/4487/6899/8200/4488/655/6469/5456/6928/7849/5076",14
"GO:0045834","GO:0045834","positive regulation of lipid metabolic process","120/14183","145/18870",0.0183728520046823,0.0486067368859775,0.0262287792094095,"9926/157506/8660/5743/3949/2181/3480/4137/5562/6720/23399/116986/10524/134429/8473/221395/3815/1389/7376/60481/5580/5581/949/1236/2247/255919/1917/2261/2475/23682/133/824/1081/2246/2321/3553/5156/5159/8850/10891/23409/64137/10580/22937/26291/3667/207/5587/51099/3552/5465/208/5468/6901/7124/11261/972/64223/2046/64805/301/1385/26137/1066/8013/9572/22863/64127/221955/7291/5105/3491/2147/58526/83643/13/5467/6366/339221/335/336/9619/1374/8525/23417/57406/10062/654/9104/6721/440503/9971/64410/3630/26119/7040/57521/215/22933/57104/376497/348/1581/56848/85414/3356/6363/134/55626/551/2168/552/23410/54361/51085/337/345275/84879/7010/2822",120
"GO:0007632","GO:0007632","visual behavior","49/14183","56/18870",0.0183733923047732,0.0486067368859775,0.0262287792094095,"3198/8554/1141/338811/3815/3091/2903/4297/85461/673/7846/3845/3688/4204/23657/351/9241/3156/4763/8622/23259/1813/6506/1497/65009/3269/4212/164312/143941/477/83658/81832/1020/1621/2780/10347/4867/8704/60626/90410/6833/5896/2902/27023/84152/261734/1812/8831/10636",49
"GO:0031124","GO:0031124","mRNA 3'-end processing","49/14183","56/18870",0.0183733923047732,0.0486067368859775,0.0262287792094095,"51692/677/5433/23248/79869/167153/1478/26986/55149/55339/79577/79882/51585/64852/1479/1477/2926/10914/11052/170506/53981/351/11051/22916/25888/55197/58490/64895/91746/255374/123169/64282/10768/84967/25962/4686/23283/580/29101/134353/333/1025/7884/8189/10978/29894/54623/22828/23144",49
"GO:0052372","GO:0052372","modulation by symbiont of entry into host","49/14183","56/18870",0.0183733923047732,0.0486067368859775,0.0262287792094095,"10410/10581/3685/7706/10346/5034/6609/920/5806/81603/117854/56649/4061/3853/3576/5819/342931/857/55128/7726/8724/286827/3440/972/6737/85363/3956/9023/2519/81559/8519/55770/325/10475/11043/7113/3965/2934/10107/131578/222537/5045/23265/3146/4261/10738/8547/11074/55223",49
"GO:0061097","GO:0061097","regulation of protein tyrosine kinase activity","49/14183","56/18870",0.0183733923047732,0.0486067368859775,0.0262287792094095,"5912/9655/54206/2043/2915/9052/56940/57826/84313/122809/867/2065/1942/9467/351/5649/55294/1741/5770/50507/10006/51704/857/7251/6868/84619/9094/868/7804/58533/8692/150/1742/6714/5621/9961/285489/5753/80851/4739/79643/255324/183/5788/23624/353514/57732/1436/80725",49
"GO:0007019","GO:0007019","microtubule depolymerization","40/14183","45/18870",0.0188991849857558,0.049791031795875,0.0268678389715038,"3796/324/4130/4131/57551/57701/22974/146909/3925/4281/6314/9793/26586/11075/126731/23122/22911/23271/23332/79929/50810/344148/81930/2258/6683/9181/89927/11004/55201/58526/50861/57159/347240/146057/59341/10297/124602/25876/89795/10013",40
"GO:0010799","GO:0010799","regulation of peptidyl-threonine phosphorylation","40/14183","45/18870",0.0188991849857558,0.049791031795875,0.0268678389715038,"57214/801/808/1981/3093/4092/5594/7474/8767/56288/805/351/51719/51763/117854/1116/5528/199731/345611/65267/85456/5347/2039/8877/10253/161742/2931/143941/2641/200734/7040/57521/22933/51422/8312/1609/9294/566/1950/219736",40
"GO:0014014","GO:0014014","negative regulation of gliogenesis","40/14183","45/18870",0.0188991849857558,0.049791031795875,0.0268678389715038,"5925/23405/7157/3949/6497/29956/388585/1499/3280/4204/9283/4771/9241/1745/3400/4152/4763/6664/9682/4825/4851/9921/7101/430/9572/11221/2147/26022/54209/1030/22933/706/79727/6833/6663/5309/23500/84504/1746/1600",40
"GO:0032480","GO:0032480","negative regulation of type I interferon production","40/14183","45/18870",0.0188991849857558,0.049791031795875,0.0268678389715038,"5966/7528/23515/55666/5987/9978/84861/5781/9111/54476/345611/140885/5802/64771/5971/54606/54941/5495/1540/7353/8452/9474/6614/55593/9140/79671/79132/10293/83737/3586/29108/26146/8815/63906/730249/54739/10859/23547/7305/58509",40
"GO:0034331","GO:0034331","cell junction maintenance","40/14183","45/18870",0.0188991849857558,0.049791031795875,0.0268678389715038,"382/8927/22941/1365/7082/147381/3690/1739/6272/27445/577/9076/26060/2150/8506/9788/50944/57555/10979/22871/400916/23085/144100/1639/55765/55243/1488/3801/5864/91584/2149/10882/4983/57662/869/5657/8831/26059/25861/1436",40
"GO:0050856","GO:0050856","regulation of T cell receptor signaling pathway","40/14183","45/18870",0.0188991849857558,0.049791031795875,0.0268678389715038,"7070/7430/5795/56940/5777/1845/149041/1236/975/3783/3932/26191/10385/5819/3988/8915/5970/2633/10892/11126/100/868/7805/8525/9840/8934/5074/5621/634/6188/4068/50852/3958/25865/1997/29085/84433/5771/11314/10666",40
"GO:0062237","GO:0062237","protein localization to postsynapse","40/14183","45/18870",0.0188991849857558,0.049791031795875,0.0268678389715038,"102/6809/8766/8473/2903/2064/81831/2066/1605/1739/4884/22883/3265/5906/55737/59284/10815/2239/23426/6616/112755/5590/1742/4218/51201/81832/10082/23513/56850/27065/9912/9211/57554/158866/160622/10369/389941/10368/23096/2905",40
"GO:0071604","GO:0071604","transforming growth factor beta production","40/14183","45/18870",0.0188991849857558,0.049791031795875,0.0268678389715038,"7057/1281/5743/2627/1386/2335/3685/4179/3091/4089/25987/23607/55353/2615/3326/3696/10159/4088/7042/101/4345/657/4052/100133941/55612/3965/7481/4602/5678/5345/8710/4060/6376/5045/183/10859/1001/7148/7305/375387",40
"GO:0090278","GO:0090278","negative regulation of peptide hormone secretion","40/14183","45/18870",0.0188991849857558,0.049791031795875,0.0268678389715038,"5978/2308/6720/90007/5211/5530/5781/3767/3033/2281/8609/8622/23409/1813/94121/1113/3745/3667/56943/2150/415116/2781/1393/84522/4856/7447/7351/150/338557/9607/3625/6422/91942/5715/6833/130399/2867/131177/1392/353500",40
"GO:1902686","GO:1902686","mitochondrial outer membrane permeabilization involved in programmed cell death","40/14183","45/18870",0.0188991849857558,0.049791031795875,0.0268678389715038,"10018/10105/1386/5599/54978/4836/2729/64112/3303/55288/2932/8870/2139/79680/28978/581/665/291/2931/93974/664/10449/578/400916/666/7417/284114/282991/637/255027/292/6687/27113/9026/293/7755/3002/8326/89941/90529",40
"GO:0051321","GO:0051321","meiotic cell cycle","231/14183","287/18870",0.0189700507544662,0.0499570799414105,0.0269574405458204,"8243/4627/10018/8438/1017/996/1843/1906/2956/3643/4292/6790/7320/7474/9134/9156/9700/9918/10051/10096/10426/10927/23304/25788/25847/29893/55706/57697/84930/192670/259266/9133/64848/7283/5515/23236/151648/3014/5889/3976/1642/7314/10635/10735/83990/9724/9665/898/546/3619/5139/7153/7917/9184/9183/150365/7272/4603/9126/79173/27229/64682/472/1164/2069/6196/7155/8900/10097/25879/143689/734/51343/84072/56155/4487/11077/10388/56776/400629/56339/284071/151246/10609/5810/136991/22887/5518/63979/5719/55810/56158/89765/3306/10592/81930/114791/994/5347/5885/4683/4751/7516/9088/9319/51434/51441/57820/256006/5890/6117/5728/10403/26271/51547/55329/56154/56907/83540/3364/10111/27175/1761/84944/128153/5932/51433/150280/1060/4488/85417/79703/10361/100507650/378708/9897/23397/29882/993/676/991/5017/10844/23310/25906/347688/5888/8697/51759/995/80010/245711/9232/675/55743/811/2072/5000/5892/7013/29945/116138/4882/9271/10179/10919/146956/84501/122402/201164/2177/2175/3622/4926/22933/23353/25777/54888/84057/119504/140801/51529/27030/8881/285498/93426/2801/7156/2827/10744/201254/4361/171483/317761/50511/158401/3955/440822/84464/9985/56603/11022/24149/56165/29947/4880/51207/286151/339345/54514/4438/54361/66037/138474/4342/283677/145645/29781/54456/441161/1909/80198/85378/91646/55124/197342/284338/1731/81626/339834/10393",231
"GO:0010921","GO:0010921","regulation of phosphatase activity","53/14183","61/18870",0.0192223941424109,0.0505589425792754,0.0272822128562922,"7184/801/808/1408/2280/2768/3064/4208/4659/7248/55291/66036/84919/84930/4249/9863/805/8725/9891/2475/6093/650/2281/2932/3326/3672/5159/5504/80279/63928/10507/9475/22870/7042/7124/9701/11261/261726/5524/57718/23645/945/10842/11035/91272/3551/3958/5788/11314/84152/5341/51657/2822",53
"GO:0034113","GO:0034113","heterotypic cell-cell adhesion","53/14183","61/18870",0.0192223941424109,0.0505589425792754,0.0272822128562922,"7070/1829/1832/2651/3685/131450/91663/65125/3688/961/64065/960/3690/1525/1824/3553/3676/3932/5318/55742/4897/8631/5598/140885/9314/7124/342035/4345/7412/2266/3689/10211/914/335/3678/4680/3728/3586/965/655/4814/4155/3679/83700/8174/3557/5788/912/3695/284359/2244/3687/2243",53
"GO:0046902","GO:0046902","regulation of mitochondrial membrane permeability","53/14183","61/18870",0.0192223941424109,0.0505589425792754,0.0272822128562922,"596/10018/10105/7157/1386/5366/5599/54978/815/4836/2729/599/64112/3303/55288/2932/6548/8870/117145/2139/79680/28978/581/665/598/291/572/2931/93974/664/3099/10449/578/400916/666/7417/284114/203245/1267/282991/637/255027/292/84266/6687/27113/9026/293/7755/3002/8326/89941/90529",53
"GO:0006612","GO:0006612","protein targeting to membrane","112/14183","135/18870",0.0194255621791645,0.0510722391781417,0.0275591938680435,"57214/2664/6726/11231/23204/23463/55625/254887/51114/117177/288/56288/64429/84243/340481/64374/54471/4666/6727/8851/9344/9697/29927/253832/9847/29800/6734/2064/7917/137492/6729/2040/55048/2534/6386/6505/6728/6745/6747/7095/51125/51762/51763/55146/56947/200576/5824/3745/64108/342538/9747/4641/23471/54557/79720/3265/1121/3309/208/2039/11261/51304/58477/85377/6746/283576/3689/23480/55176/64422/8266/23255/285093/9215/79683/10952/401647/123264/5174/5584/5621/6731/27342/51201/282679/8504/84100/439/90522/29082/1020/6449/6730/9409/128866/55670/9270/84885/130617/133022/254359/79844/134/158866/10369/51024/23148/125170/51608/2740/5830/285966",112
"GO:0006907","GO:0006907","pinocytosis","20/14183","21/18870",0.0197090764843112,0.0513725744108447,0.0277212583679882,"558/51479/7376/9261/857/7867/26060/1201/30844/55604/998/5538/112755/55198/10062/27131/29108/150696/197/1794",20
"GO:0010224","GO:0010224","response to UV-B","20/14183","21/18870",0.0197090764843112,0.0513725744108447,0.0277212583679882,"596/1026/4436/1432/3150/3592/4239/6794/51776/5970/4311/8372/3373/8692/1396/3593/7508/5600/3713/22861",20
"GO:0010288","GO:0010288","response to lead ion","20/14183","21/18870",0.0197090764843112,0.0513725744108447,0.0277212583679882,"5743/4137/5499/5516/5515/4204/9076/23621/2235/847/7351/8678/5359/6529/1788/210/6569/84557/538/5536",20
"GO:0016075","GO:0016075","rRNA catabolic process","20/14183","21/18870",0.0197090764843112,0.0513725744108447,0.0277212583679882,"5394/54464/115752/79002/118460/22894/53918/23404/54512/56915/5393/84186/11340/55106/51010/54555/23016/162989/146857/10595",20
"GO:0016137","GO:0016137","glycoside metabolic process","20/14183","21/18870",0.0197090764843112,0.0513725744108447,0.0277212583679882,"2517/8574/57016/10327/55347/2717/7054/8644/2519/84869/1646/57704/6569/2990/4668/2629/1645/231/1109/27233",20
"GO:0032402","GO:0032402","melanosome transport","20/14183","21/18870",0.0197090764843112,0.0513725744108447,0.0277212583679882,"8766/26258/9230/4644/5861/55686/10540/5873/64284/55212/63915/583/8195/4935/79083/1639/84100/1001/434/129880",20
